epoch,train_loss,train_acc,val_loss,val_acc
1,4.697727328584637,0.06239572906239573,3.1465528683700272,0.26268553676216777
2,2.903166285904002,0.29195862529195865,2.110475804832914,0.4395926820849154
3,2.1491482107091198,0.4637971304637971,1.6312580108436832,0.5493614083534691
4,1.8183691959043802,0.5375375375375375,1.464326802454696,0.5968243010010356
5,1.5986732327822728,0.5829162495829162,1.4410192591077424,0.5904383845357266
6,1.4909906738950762,0.6051051051051051,1.2991028066581802,0.6370383154987919
7,1.3975606416916107,0.6358024691358025,1.3360944030035518,0.6280635139799793
8,1.3048836258120404,0.655321988655322,1.3616165395673077,0.6387642388677943
9,1.2546515199873183,0.6711711711711712,1.3546806856177163,0.6406627545736969
10,1.2435745209266553,0.6736736736736737,1.2972766375172373,0.6508457024508112
11,1.2045188022924735,0.6858525191858525,1.3622750893600406,0.6434242319641008
12,1.1368032253540314,0.7058725392058726,1.3342901859651064,0.6568864342423196
13,1.1448414920766155,0.6986986986986987,1.2727928477917143,0.680013807386952
14,1.0720275479493477,0.7125458792125459,1.2841124596155558,0.6584397652744218
15,1.0384689312320095,0.7310643977310644,1.3441881186434594,0.6582671729375216
16,1.041406407052372,0.7252252252252253,1.2952736476699869,0.660683465654125
17,1.0349803864060938,0.7342342342342343,1.3880285333236373,0.6560234725578185
18,1.005270990682595,0.7345679012345679,1.3366399225658323,0.6603382809803244
19,1.0142321887515886,0.7342342342342343,1.2620299159811825,0.6732827062478426
20,1.0310632614521413,0.7367367367367368,1.4048897515381868,0.6555056955471177
