epoch,train_loss,train_acc,val_loss,val_acc
1,3.746802623485938,0.17801134467801136,2.0106943224704303,0.4568519157749396
2,2.1890508043475654,0.44978311644978314,1.431987038494625,0.598550224370038
3,1.691963804575615,0.5607273940607274,1.206335481226992,0.6565412495685191
4,1.434815200360807,0.6307974641307975,1.1086025106873971,0.695719710044874
5,1.3008196861456742,0.6523189856523189,1.0322615968608058,0.7238522609596134
6,1.1967618317456097,0.6918585251918585,1.08048193636622,0.7226441146013117
7,1.112296463371636,0.7132132132132132,1.0521989299931482,0.7212633759061098
8,1.0611932519916538,0.720387053720387,1.081646425620882,0.7241974456334139
9,1.0197103513969674,0.7318985652318986,1.0615322516379913,0.7276492923714187
10,0.9712965648334186,0.7429095762429095,1.0646282500392266,0.7304107697618226
11,0.9827941275454379,0.7397397397397397,1.2126200499747966,0.7100448740075941
12,0.9347877560514667,0.7579245912579246,1.073182974052709,0.7361063168795305
13,0.9369209025019123,0.7507507507507507,1.017694555833576,0.7424922333448395
14,0.8597770268653765,0.7749416082749416,1.0590316669376998,0.7506040731791509
15,0.8794162553829236,0.7717717717717718,1.0324784376442144,0.7547462892647566
16,0.831551573138894,0.7812812812812813,1.0819382996935156,0.7385226095961339
17,0.8061433768407639,0.789622956289623,1.0593411087344278,0.7488781498101484
18,0.7716871319033521,0.8018018018018018,1.1108652778545847,0.7438729720400414
19,0.7744118367030615,0.7991324657991324,1.0662741219308483,0.7459440800828443
20,0.7953208951421845,0.7927927927927928,1.0699023739428148,0.7361063168795305
