epoch,train_loss,train_acc,val_loss,val_acc
1,5.02393803741282,0.02669336002669336,4.4764047704320715,0.050051777701070076
2,4.331920419488703,0.06906906906906907,4.157152884492884,0.08888505350362444
3,4.04699077930775,0.10377043710377044,4.737162539331017,0.055229547808077324
4,3.7699042676805377,0.1419753086419753,3.823581490139736,0.14411460131170176
5,3.2390133353682966,0.22038705372038705,2.6531849671200223,0.31429064549534
6,3.137947543446207,0.24974974974974976,2.755973999854981,0.3046254746289265
7,2.8635375658830164,0.2952952952952953,2.3546814801037046,0.381429064549534
8,2.5544898577201036,0.36186186186186187,2.1948426006825414,0.41801863997238525
9,2.399552057693909,0.39305972639305975,2.0569724950001986,0.44753192958232657
10,2.2492832332441797,0.4257590924257591,2.023518451882676,0.46289264756644805
11,2.132789693278076,0.4551217884551218,1.8880314889820766,0.4958577839143942
12,2.0234133868683646,0.48214881548214883,1.851962411819263,0.5181221953745254
13,1.9270745065954473,0.504004004004004,1.8905204581852242,0.5295132896099414
14,1.7949849343673763,0.5295295295295295,1.6055786557801641,0.5692095270969969
15,1.7495002965748927,0.5498832165498833,1.6087571121405067,0.5717984121505005
16,1.710248188969291,0.5535535535535535,1.6452039487191858,0.5704176734552986
17,1.6512607139947615,0.5665665665665666,1.7575829161095093,0.5471177079737659
18,1.5772377136829976,0.5915915915915916,1.5595253257564416,0.5988954090438384
19,1.5153741156374727,0.6074407741074408,1.5735692556022898,0.5919917155678288
20,1.4742993837919163,0.6122789456122789,1.4846446832830344,0.6158094580600622
