epoch,train_loss,train_acc,val_loss,val_acc
1,3.716429533304514,0.2057057057057057,1.9302640002391895,0.46064894718674493
2,1.990743544088191,0.48181514848181517,1.4991423851525245,0.5693821194338972
3,1.5469776743604693,0.5954287620954287,1.2211626153812198,0.6465308940283051
4,1.320750346054902,0.6496496496496497,1.1199485921861285,0.6796686227131515
5,1.2383380332389273,0.6696696696696697,1.2661314418666068,0.6567138419054194
6,1.1226640716568008,0.7048715382048716,1.221858483560616,0.6767345529858474
7,1.1289951319610194,0.7042042042042042,1.0917300168176665,0.7074559889540905
8,1.0422513853282502,0.7175508842175509,1.1322809110682048,0.701415257162582
9,0.981984129897109,0.7400734067400734,1.028954040933308,0.7195374525371073
10,0.9535854141195893,0.7450784117450784,1.177120825712105,0.6986537797721781
11,0.9577603174779349,0.7537537537537538,1.181387584344,0.6867449085260614
12,0.9515305135024958,0.749582916249583,1.291256193173191,0.675698998964446
13,0.9496379286836376,0.7470804137470805,1.3868821852518682,0.6725923369002417
14,0.9208884936871432,0.7542542542542543,1.0651741495631952,0.7293752157404211
15,0.9053457194182887,0.7605939272605939,1.240610039858858,0.706420434932689
16,0.9032613723764111,0.7627627627627628,1.1889537646659272,0.6946841560234726
17,0.8801222667520667,0.7699366032699366,1.14077819066497,0.7093545046599931
18,0.8680906292196509,0.7702702702702703,1.2348133631006866,0.6955471177079737
19,0.8643470573791234,0.7774441107774441,1.2187396139832336,0.6789782533655506
20,0.8262552904772448,0.7811144477811145,1.257721003197702,0.6829478771142561
