,precision,recall,f1-score,support
Black_footed_Albatross,0.6896551724137931,0.6666666666666666,0.6779661016949152,30.0
Laysan_Albatross,1.0,0.6,0.75,30.0
Sooty_Albatross,0.5909090909090909,0.9285714285714286,0.7222222222222222,28.0
Groove_billed_Ani,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Crested_Auklet,0.6111111111111112,0.7857142857142857,0.6875,14.0
Least_Auklet,1.0,0.7272727272727273,0.8421052631578947,11.0
Parakeet_Auklet,0.8947368421052632,0.7391304347826086,0.8095238095238095,23.0
Rhinoceros_Auklet,0.46153846153846156,1.0,0.631578947368421,18.0
Brewer_Blackbird,0.6363636363636364,0.2413793103448276,0.35,29.0
Red_winged_Blackbird,0.8125,0.8666666666666667,0.8387096774193549,30.0
Rusty_Blackbird,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
Yellow_headed_Blackbird,0.92,0.8846153846153846,0.9019607843137255,26.0
Bobolink,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Indigo_Bunting,0.7,0.9333333333333333,0.8,30.0
Lazuli_Bunting,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
Painted_Bunting,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
Cardinal,0.96,0.8888888888888888,0.9230769230769231,27.0
Spotted_Catbird,1.0,0.9333333333333333,0.9655172413793104,15.0
Gray_Catbird,0.8,0.5517241379310345,0.6530612244897959,29.0
Yellow_breasted_Chat,0.7419354838709677,0.7931034482758621,0.7666666666666667,29.0
Eastern_Towhee,0.9642857142857143,0.9,0.9310344827586207,30.0
Chuck_will_Widow,0.6428571428571429,0.6923076923076923,0.6666666666666666,26.0
Brandt_Cormorant,0.6785714285714286,0.6551724137931034,0.6666666666666666,29.0
Red_faced_Cormorant,0.9375,0.6818181818181818,0.7894736842105263,22.0
Pelagic_Cormorant,0.68,0.5666666666666667,0.6181818181818182,30.0
Bronzed_Cowbird,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Shiny_Cowbird,0.2,0.6,0.3,30.0
Brown_Creeper,0.9615384615384616,0.8620689655172413,0.9090909090909091,29.0
American_Crow,0.2,0.13333333333333333,0.16,30.0
Fish_Crow,0.25,0.23333333333333334,0.2413793103448276,30.0
Black_billed_Cuckoo,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0
Mangrove_Cuckoo,0.6521739130434783,0.6521739130434783,0.6521739130434783,23.0
Yellow_billed_Cuckoo,0.5,0.4482758620689655,0.4727272727272727,29.0
Gray_crowned_Rosy_Finch,0.9583333333333334,0.7931034482758621,0.8679245283018868,29.0
Purple_Finch,0.9523809523809523,0.6666666666666666,0.7843137254901961,30.0
Northern_Flicker,0.8709677419354839,0.9,0.8852459016393442,30.0
Acadian_Flycatcher,0.5384615384615384,0.7241379310344828,0.6176470588235294,29.0
Great_Crested_Flycatcher,0.85,0.5666666666666667,0.68,30.0
Least_Flycatcher,0.36,0.3103448275862069,0.3333333333333333,29.0
Olive_sided_Flycatcher,0.41509433962264153,0.7333333333333333,0.5301204819277109,30.0
Scissor_tailed_Flycatcher,0.7027027027027027,0.8666666666666667,0.7761194029850746,30.0
Vermilion_Flycatcher,0.9230769230769231,0.8,0.8571428571428571,30.0
Yellow_bellied_Flycatcher,0.45,0.3103448275862069,0.3673469387755102,29.0
Frigatebird,0.6923076923076923,0.9,0.782608695652174,30.0
Northern_Fulmar,0.6486486486486487,0.8,0.7164179104477612,30.0
Gadwall,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0
American_Goldfinch,0.90625,0.9666666666666667,0.9354838709677419,30.0
European_Goldfinch,0.9642857142857143,0.9,0.9310344827586207,30.0
Boat_tailed_Grackle,0.5185185185185185,0.4666666666666667,0.49122807017543857,30.0
Eared_Grebe,0.9375,0.5,0.6521739130434783,30.0
Horned_Grebe,0.627906976744186,0.9,0.7397260273972602,30.0
Pied_billed_Grebe,0.8235294117647058,0.9333333333333333,0.875,30.0
Western_Grebe,0.8571428571428571,0.8,0.8275862068965517,30.0
Blue_Grosbeak,0.9,0.6,0.72,30.0
Evening_Grosbeak,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Pine_Grosbeak,0.8125,0.8666666666666667,0.8387096774193549,30.0
Rose_breasted_Grosbeak,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Pigeon_Guillemot,0.9565217391304348,0.7857142857142857,0.8627450980392157,28.0
California_Gull,0.38461538461538464,0.3333333333333333,0.35714285714285715,30.0
Glaucous_winged_Gull,0.32786885245901637,0.6896551724137931,0.4444444444444444,29.0
Heermann_Gull,1.0,0.8,0.8888888888888888,30.0
Herring_Gull,0.25,0.3,0.2727272727272727,30.0
Ivory_Gull,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Ring_billed_Gull,0.8333333333333334,0.16666666666666666,0.2777777777777778,30.0
Slaty_backed_Gull,0.5,0.45,0.47368421052631576,20.0
Western_Gull,0.7333333333333333,0.36666666666666664,0.4888888888888889,30.0
Anna_Hummingbird,0.75,0.6,0.6666666666666666,30.0
Ruby_throated_Hummingbird,0.7,0.4666666666666667,0.56,30.0
Rufous_Hummingbird,0.9230769230769231,0.8,0.8571428571428571,30.0
Green_Violetear,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Long_tailed_Jaeger,0.5263157894736842,0.3333333333333333,0.40816326530612246,30.0
Pomarine_Jaeger,0.6363636363636364,0.4666666666666667,0.5384615384615384,30.0
Blue_Jay,0.6666666666666666,0.9333333333333333,0.7777777777777778,30.0
Florida_Jay,0.9230769230769231,0.8,0.8571428571428571,30.0
Green_Jay,1.0,0.8518518518518519,0.92,27.0
Dark_eyed_Junco,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Tropical_Kingbird,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Gray_Kingbird,0.6666666666666666,0.8275862068965517,0.7384615384615385,29.0
Belted_Kingfisher,0.7647058823529411,0.8666666666666667,0.8125,30.0
Green_Kingfisher,0.9333333333333333,0.4666666666666667,0.6222222222222222,30.0
Pied_Kingfisher,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Ringed_Kingfisher,0.6,0.8,0.6857142857142857,30.0
White_breasted_Kingfisher,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Red_legged_Kittiwake,0.6896551724137931,0.8695652173913043,0.7692307692307693,23.0
