epoch,train_loss,train_acc,val_loss,val_acc
1,3.964471049813139,0.15949282615949284,1.9964032594524748,0.46116672419744564
2,1.9659482630881462,0.4904904904904905,1.5320682436083777,0.5688643424231964
3,1.5663301753409116,0.589255922589256,1.3172454006396412,0.6327235070762858
4,1.371241046382381,0.6406406406406406,1.270322167203679,0.6480842250604073
5,1.2333301686429166,0.6748415081748415,1.1176223804686227,0.6881256472212633
6,1.1752594926574447,0.6915248581915249,1.218147128027654,0.6744908526061443
7,1.138927965869019,0.695362028695362,1.123869897039658,0.6958923023817742
8,1.0909198459323581,0.7128795462128795,1.2182850918115666,0.6746634449430445
9,1.0275640880659813,0.7327327327327328,1.1289903317760335,0.6958923023817742
10,1.0330662128724055,0.7297297297297297,1.1327942407223524,0.7048671039005868
11,0.9963518941167756,0.7372372372372372,1.166055335729162,0.6974456334138764
12,0.9579182403820293,0.7452452452452453,1.15158971066596,0.7034863652053849
13,0.9512309428648746,0.7532532532532532,1.2321527709783893,0.6822575077666552
14,0.9102831422626316,0.7570904237570905,1.3054651230223886,0.665688643424232
15,0.9269258456903177,0.755422088755422,1.243731451630454,0.689333793579565
16,0.9285551311972143,0.7577577577577578,1.345969871380924,0.6580945806006213
17,0.8910246712389015,0.7672672672672672,1.285583382398456,0.6779426993441491
18,0.9077212400025911,0.7620954287620955,1.3189740817226592,0.6724197445633414
19,0.8840656489143779,0.7664330997664331,1.4899725858501456,0.6360027614773904
20,0.8861687884634639,0.7632632632632632,1.348163757538169,0.6741456679323438
